frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
4.900000000000000000e+01,8.493091308044387233e+01,2.092535732817383831e+01,-1.843549095445078806e-03,5.820439977978292490e+01,3.980932458599875101e-01,1.993064308166503906e+01,0.000000000000000000e+00,1.054194794818775627e+01,1.000000000000000000e+00
5.100000000000000000e+01,7.789320471957343273e+01,2.877413605926534146e+01,-2.429057306981138083e-03,7.694414901391061790e+01,1.903804450137681625e-01,2.553172111511230469e+01,0.000000000000000000e+00,1.054194794818775627e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.747910745775674712e+01,1.121012047668825318e+01,-3.509342666438897921e-03,1.115197131796595329e+02,2.295130969318777137e-01,1.969952392578125000e+01,0.000000000000000000e+00,5.468936826497357018e+00,1.000000000000000000e+00
5.000000000000000000e+01,4.347800722858924161e+01,1.605720288888958791e+01,1.417483829143801558e-03,-4.456777421152470708e+01,3.974870811243965685e-01,2.613597106933593750e+01,0.000000000000000000e+00,3.484089759441344913e+00,1.000000000000000000e+00
5.300000000000000000e+01,1.351360004025822015e+01,7.443952539117871581e+00,-3.117188934551459994e-03,9.896845864213825905e+01,2.799089390781230868e-01,1.798800277709960938e+01,0.000000000000000000e+00,5.468936826497357018e+00,1.000000000000000000e+00
5.300000000000000000e+01,1.429278133239216970e+02,8.049308471793512609e+00,-3.377494700387098994e-03,1.072997931646038268e+02,1.381773365300454914e-01,2.020700836181640625e+01,0.000000000000000000e+00,7.678057343114886635e+00,1.000000000000000000e+00
5.100000000000000000e+01,5.039064362053838408e+01,1.899308094597326502e+01,1.058643150106896701e-03,-3.308273573099853593e+01,4.778540275960956318e-01,2.761631011962890625e+01,0.000000000000000000e+00,5.931513742526551169e+00,1.000000000000000000e+00
5.200000000000000000e+01,5.845195696958187170e+01,2.267399519202628966e+01,-3.597801135374598981e-03,1.143509109200653029e+02,9.991247960713278697e-02,2.113457107543945312e+01,0.000000000000000000e+00,4.097883001901372779e+00,1.000000000000000000e+00
5.300000000000000000e+01,7.194846438705174307e+01,1.172617506727889136e+01,-3.428949809627313688e-03,1.089466630546888410e+02,1.511151194452007296e-01,1.976449966430664062e+01,0.000000000000000000e+00,8.895562277231338300e+00,1.000000000000000000e+00
5.200000000000000000e+01,1.005751872163792058e+02,2.389495738479059384e+01,-3.279991255000438630e-03,1.041791023185849241e+02,1.719603245845643391e-01,1.958387756347656250e+01,0.000000000000000000e+00,6.765615474953635911e+00,1.000000000000000000e+00
5.500000000000000000e+01,4.313307110726933047e+01,1.259023007041338538e+01,-3.639977881246194910e-03,1.157008179334472402e+02,1.300966317692080487e-01,2.190917968750000000e+01,0.000000000000000000e+00,3.484089759441344913e+00,1.000000000000000000e+00
5.400000000000000000e+01,1.414945216899664615e+02,1.779578380265103377e+01,-2.054990977893344020e-03,6.497179906915799563e+01,2.904811306951877725e-01,2.425861358642578125e+01,0.000000000000000000e+00,8.502615900640172697e+00,1.000000000000000000e+00
5.400000000000000000e+01,2.527743738484194935e+01,1.961844796709819860e+01,-3.095536078335747471e-03,9.827543830922003565e+01,1.608978361788316880e-01,2.198141860961914062e+01,0.000000000000000000e+00,1.146795190248268881e+01,1.000000000000000000e+00
5.500000000000000000e+01,5.434944151381836264e+01,2.341018118458494257e+01,2.069004780848308477e-03,-6.542032421025473354e+01,4.379189111700655390e-01,1.814533233642578125e+01,0.000000000000000000e+00,4.168045450857996492e+00,1.000000000000000000e+00
5.600000000000000000e+01,1.329943595470899140e+02,1.759152734956450104e+01,1.661721703126649470e-03,-5.238484051689311372e+01,4.304563510009626892e-01,2.385306358337402344e+01,0.000000000000000000e+00,3.672526602495734149e+00,1.000000000000000000e+00
5.800000000000000000e+01,5.615155477444722720e+01,1.921986042971393260e+01,-3.044404720562670849e-03,9.663893039389269290e+01,2.029208578313146383e-01,1.740712738037109375e+01,0.000000000000000000e+00,4.561403318370032878e+00,1.000000000000000000e+00
5.700000000000000000e+01,4.046160759012502695e+01,2.329725685507826682e+01,-4.026109405805527140e-03,1.280593259766562255e+02,1.167090223153258721e-01,2.008016777038574219e+01,0.000000000000000000e+00,1.103526800267960084e+01,1.000000000000000000e+00
5.900000000000000000e+01,9.947966573758981212e+01,1.470004817461639313e+01,-2.805459450827777184e-03,8.899125893977996782e+01,2.007854326337102924e-01,1.897950744628906250e+01,0.000000000000000000e+00,7.595008817452431948e+00,1.000000000000000000e+00
5.800000000000000000e+01,1.344042249369990927e+01,1.950741425590672407e+01,-2.910185993034927320e-03,9.234313189467945904e+01,1.628700875182479413e-01,2.149155235290527344e+01,0.000000000000000000e+00,9.148212265959823952e+00,1.000000000000000000e+00
